"Date","Price","Open","High","Low","Vol.","Change %"
"25-01-2024","13.74","14.24","14.26","13.52","7.06M","-3.46%"
"24-01-2024","14.24","14.31","14.43","13.92","5.91M","-0.48%"
"23-01-2024","14.31","14.60","14.88","13.58","8.50M","-2.01%"
"22-01-2024","14.60","15.40","15.93","14.52","9.14M","-5.18%"
"21-01-2024","15.40","15.78","15.90","15.38","3.64M","-2.41%"
"20-01-2024","15.78","16.11","16.55","15.67","8.57M","-2.07%"
"19-01-2024","16.11","14.66","16.36","14.48","10.20M","9.89%"
"18-01-2024","14.66","15.77","15.77","14.24","6.94M","-7.03%"
"17-01-2024","15.77","15.28","16.37","15.28","9.11M","3.21%"
"16-01-2024","15.28","15.18","15.35","14.77","4.18M","0.66%"
"15-01-2024","15.18","14.76","16.01","14.76","7.33M","2.82%"
"14-01-2024","14.76","14.34","15.36","14.27","7.18M","2.90%"
"13-01-2024","14.34","14.16","14.43","13.80","2.64M","1.28%"
"12-01-2024","14.16","15.02","15.29","13.66","5.46M","-5.69%"
"11-01-2024","15.02","15.07","15.67","14.60","6.28M","-0.33%"
"10-01-2024","15.07","13.71","15.34","13.57","6.39M","9.86%"
"09-01-2024","13.71","14.14","14.25","13.38","6.24M","-3.00%"
"08-01-2024","14.14","13.15","14.40","12.54","6.58M","7.60%"
"07-01-2024","13.14","13.43","13.73","13.01","3.68M","-2.13%"
"06-01-2024","13.43","14.08","14.10","13.19","4.75M","-4.62%"
"05-01-2024","14.08","14.53","14.65","13.79","7.18M","-3.14%"
"04-01-2024","14.53","14.15","14.75","14.00","5.24M","2.73%"
"03-01-2024","14.15","15.16","15.57","12.41","10.19M","-6.66%"
"02-01-2024","15.16","15.54","16.06","15.07","5.70M","-2.45%"
"01-01-2024","15.54","14.94","15.57","14.83","3.20M","3.98%"
"31-12-2023","14.94","15.17","15.52","14.77","3.53M","-1.46%"
"30-12-2023","15.17","15.54","15.62","15.03","2.96M","-2.34%"
"29-12-2023","15.53","16.01","16.22","15.19","7.30M","-3.00%"
"28-12-2023","16.01","16.72","17.62","15.99","13.15M","-4.30%"
"27-12-2023","16.73","15.09","16.73","14.66","9.45M","10.87%"
"26-12-2023","15.09","15.58","15.88","14.34","7.26M","-3.19%"
"25-12-2023","15.59","15.26","15.73","15.13","6.00M","2.15%"
"24-12-2023","15.26","15.68","15.93","15.16","6.73M","-2.72%"
"23-12-2023","15.68","15.48","15.90","14.93","7.10M","1.34%"
"22-12-2023","15.48","15.31","15.72","15.08","7.19M","1.12%"
"21-12-2023","15.31","14.25","15.31","14.19","7.91M","7.45%"
"20-12-2023","14.25","14.09","14.80","13.98","6.04M","1.10%"
"19-12-2023","14.09","14.67","14.80","13.95","5.63M","-3.93%"
"18-12-2023","14.67","14.01","14.67","13.65","9.11M","4.70%"
"17-12-2023","14.01","14.33","14.37","13.92","4.50M","-2.22%"
"16-12-2023","14.33","14.28","14.80","14.11","4.86M","0.34%"
"15-12-2023","14.28","15.36","15.39","14.26","6.48M","-7.06%"
"14-12-2023","15.36","14.77","15.58","14.52","9.25M","3.99%"
"13-12-2023","14.77","14.52","14.93","13.89","9.11M","1.75%"
"12-12-2023","14.52","14.77","15.13","14.18","8.33M","-1.72%"
"11-12-2023","14.77","16.37","16.46","14.08","15.02M","-9.67%"
"10-12-2023","16.36","16.19","16.45","15.81","5.57M","1.00%"
"09-12-2023","16.19","16.93","17.29","16.12","9.27M","-4.28%"
"08-12-2023","16.92","15.69","17.25","15.57","11.55M","7.77%"
"07-12-2023","15.70","15.28","15.79","14.68","9.19M","2.74%"
"06-12-2023","15.28","15.73","16.15","15.25","8.19M","-2.73%"
"05-12-2023","15.71","15.81","16.08","15.18","7.29M","-0.67%"
"04-12-2023","15.81","15.71","16.39","15.18","8.90M","0.67%"
"03-12-2023","15.71","15.99","16.28","15.69","4.41M","-1.74%"
"02-12-2023","15.99","14.99","16.19","14.92","6.63M","6.68%"
"01-12-2023","14.99","14.41","15.04","14.28","4.72M","4.07%"
"30-11-2023","14.40","14.51","14.83","14.28","4.50M","-0.77%"
"29-11-2023","14.51","14.52","14.99","14.42","4.94M","-0.05%"
"28-11-2023","14.52","14.19","14.70","13.79","5.51M","2.36%"
"27-11-2023","14.19","14.77","15.29","13.88","6.31M","-3.94%"
"26-11-2023","14.77","14.76","15.32","14.48","5.31M","0.07%"
"25-11-2023","14.76","14.48","14.97","14.42","3.38M","1.89%"
"24-11-2023","14.48","14.38","14.80","14.25","4.39M","0.72%"
"23-11-2023","14.38","14.21","14.88","14.13","5.85M","1.22%"
"22-11-2023","14.21","13.36","14.61","13.33","7.46M","6.36%"
"21-11-2023","13.36","14.47","14.66","13.34","9.49M","-7.71%"
"20-11-2023","14.47","14.91","15.39","14.38","8.03M","-2.95%"
"19-11-2023","14.91","13.75","15.05","13.38","8.17M","8.42%"
"18-11-2023","13.75","13.71","13.81","12.94","6.11M","0.32%"
"17-11-2023","13.71","13.87","14.25","12.86","10.50M","-1.12%"
"16-11-2023","13.87","15.03","15.19","13.63","11.78M","-7.73%"
"15-11-2023","15.03","13.96","15.33","13.95","9.69M","7.69%"
"14-11-2023","13.96","14.36","14.91","13.50","13.06M","-2.80%"
"13-11-2023","14.36","16.03","16.29","14.32","10.33M","-10.43%"
"12-11-2023","16.03","16.47","16.52","15.50","9.68M","-2.69%"
